datetime,app0,app1
1970-01-01 00:00:00,42300,144000
1970-01-01 00:15:00,44100,138600
1970-01-01 00:30:00,45900,137700
1970-01-01 00:45:00,45900,133200
1970-01-01 01:00:00,47700,133200
1970-01-01 01:15:00,46800,128700
1970-01-01 01:30:00,47700,136800
1970-01-01 01:45:00,51300,151200
1970-01-01 02:00:00,50400,152100
1970-01-01 02:15:00,50400,155700
1970-01-01 02:30:00,52200,155700
1970-01-01 02:45:00,53100,153900
1970-01-01 03:00:00,55800,151200
1970-01-01 03:15:00,54000,145800
1970-01-01 03:30:00,54000,144900
1970-01-01 03:45:00,55800,151200
1970-01-01 04:00:00,60300,151200
1970-01-01 04:15:00,57600,151200
1970-01-01 04:30:00,56700,158400
1970-01-01 04:45:00,58500,156600
1970-01-01 05:00:00,59400,158400
1970-01-01 05:15:00,61200,167400
1970-01-01 05:30:00,62100,166500
1970-01-01 05:45:00,62100,161100
1970-01-01 06:00:00,63900,152100
1970-01-01 06:15:00,63000,139500
1970-01-01 06:30:00,63900,135000
1970-01-01 06:45:00,64800,130500
1970-01-01 07:00:00,66600,126900
1970-01-01 07:15:00,66600,124200
1970-01-01 07:30:00,68400,114300
1970-01-01 07:45:00,68400,114300
1970-01-01 08:00:00,70200,117000
1970-01-01 08:15:00,69300,125100
1970-01-01 08:30:00,71100,119700
1970-01-01 08:45:00,72000,114300
1970-01-01 09:00:00,72900,108000
1970-01-01 09:15:00,72900,104400
1970-01-01 09:30:00,74700,89100
1970-01-01 09:45:00,74700,88200
1970-01-01 10:00:00,74700,93600
1970-01-01 10:15:00,75600,91800
1970-01-01 10:30:00,77400,81900
1970-01-01 10:45:00,77400,87300
1970-01-01 11:00:00,79200,98100
1970-01-01 11:15:00,80100,99000
1970-01-01 11:30:00,80100,117000
1970-01-01 11:45:00,81000,121500
1970-01-01 12:00:00,81900,114300
1970-01-01 12:15:00,83700,113400
1970-01-01 12:30:00,82800,114300
1970-01-01 12:45:00,83700,109800
1970-01-01 13:00:00,86400,114300
1970-01-01 13:15:00,85500,120600
1970-01-01 13:30:00,88200,120600
1970-01-01 13:45:00,88200,121500
1970-01-01 14:00:00,89100,123300
1970-01-01 14:15:00,91800,126900
1970-01-01 14:30:00,90000,124200
1970-01-01 14:45:00,90900,124200
1970-01-01 15:00:00,92700,131400
1970-01-01 15:15:00,91800,122400
1970-01-01 15:30:00,95400,126000
1970-01-01 15:45:00,96300,122400
1970-01-01 16:00:00,94500,112500
1970-01-01 16:15:00,95400,100800
1970-01-01 16:30:00,96300,99900
1970-01-01 16:45:00,97200,102600
1970-01-01 17:00:00,98100,107100
1970-01-01 17:15:00,99900,105300
1970-01-01 17:30:00,99900,111600
1970-01-01 17:45:00,103500,107100
1970-01-01 18:00:00,101700,108000
1970-01-01 18:15:00,103500,117000
1970-01-01 18:30:00,102600,124200
1970-01-01 18:45:00,103500,116100
1970-01-01 19:00:00,104400,113400
1970-01-01 19:15:00,107100,114300
1970-01-01 19:30:00,107100,109800
1970-01-01 19:45:00,108900,107100
1970-01-01 20:00:00,108000,110700
1970-01-01 20:15:00,109800,115200
1970-01-01 20:30:00,108900,112500
1970-01-01 20:45:00,110700,108900
1970-01-01 21:00:00,113400,106200
1970-01-01 21:15:00,112500,108000
1970-01-01 21:30:00,114300,115200
1970-01-01 21:45:00,114300,108000
1970-01-01 22:00:00,117900,97200
1970-01-01 22:15:00,117000,104400
1970-01-01 22:30:00,115200,104400
1970-01-01 22:45:00,117900,115200
1970-01-01 23:00:00,118800,119700
1970-01-01 23:15:00,118800,123300
1970-01-01 23:30:00,119700,124200
1970-01-01 23:45:00,121500,125100
