,reqs
1970-01-01 00:00:00,325642
1970-01-01 01:00:00,453903
1970-01-01 02:00:00,487264
1970-01-01 03:00:00,393279
1970-01-01 04:00:00,401800
1970-01-01 05:00:00,394046
1970-01-01 06:00:00,381846
1970-01-01 07:00:00,367835
1970-01-01 08:00:00,344380
1970-01-01 09:00:00,394261
1970-01-01 10:00:00,411218
1970-01-01 11:00:00,432088
1970-01-01 12:00:00,456746
1970-01-01 13:00:00,543134
1970-01-01 14:00:00,570304
1970-01-01 15:00:00,575630
1970-01-01 16:00:00,653003
1970-01-01 17:00:00,677393
1970-01-01 18:00:00,590784
1970-01-01 19:00:00,601503
1970-01-01 20:00:00,620617
1970-01-01 21:00:00,598893
1970-01-01 22:00:00,718284
1970-01-01 23:00:00,891156
