,reqs
1970-01-01 00:00:00,140026
1970-01-01 00:15:00,134103
1970-01-01 00:30:00,129710
1970-01-01 00:45:00,128898
1970-01-01 01:00:00,128676
1970-01-01 01:15:00,122984
1970-01-01 01:30:00,131856
1970-01-01 01:45:00,143431
1970-01-01 02:00:00,148590
1970-01-01 02:15:00,150676
1970-01-01 02:30:00,149661
1970-01-01 02:45:00,149781
1970-01-01 03:00:00,146003
1970-01-01 03:15:00,141288
1970-01-01 03:30:00,140160
1970-01-01 03:45:00,146357
1970-01-01 04:00:00,146188
1970-01-01 04:15:00,147614
1970-01-01 04:30:00,153516
1970-01-01 04:45:00,152692
1970-01-01 05:00:00,155335
1970-01-01 05:15:00,160215
1970-01-01 05:30:00,159535
1970-01-01 05:45:00,155993
1970-01-01 06:00:00,145507
1970-01-01 06:15:00,133977
1970-01-01 06:30:00,130958
1970-01-01 06:45:00,126325
1970-01-01 07:00:00,123256
1970-01-01 07:15:00,119649
1970-01-01 07:30:00,111369
1970-01-01 07:45:00,111050
1970-01-01 08:00:00,113822
1970-01-01 08:15:00,120010
1970-01-01 08:30:00,116092
1970-01-01 08:45:00,110349
1970-01-01 09:00:00,103708
1970-01-01 09:15:00,92934
1970-01-01 09:30:00,83944
1970-01-01 09:45:00,83058
1970-01-01 10:00:00,90047
1970-01-01 10:15:00,85390
1970-01-01 10:30:00,77557
1970-01-01 10:45:00,79313
1970-01-01 11:00:00,91606
1970-01-01 11:15:00,94807
1970-01-01 11:30:00,105670
1970-01-01 11:45:00,114521
1970-01-01 12:00:00,107468
1970-01-01 12:15:00,108893
1970-01-01 12:30:00,108805
1970-01-01 12:45:00,105215
1970-01-01 13:00:00,108600
1970-01-01 13:15:00,114980
1970-01-01 13:30:00,115902
1970-01-01 13:45:00,116821
1970-01-01 14:00:00,116737
1970-01-01 14:15:00,123407
1970-01-01 14:30:00,121887
1970-01-01 14:45:00,120284
1970-01-01 15:00:00,123783
1970-01-01 15:15:00,117346
1970-01-01 15:30:00,123032
1970-01-01 15:45:00,117220
1970-01-01 16:00:00,104321
1970-01-01 16:15:00,94039
1970-01-01 16:30:00,93885
1970-01-01 16:45:00,97204
1970-01-01 17:00:00,103386
1970-01-01 17:15:00,101167
1970-01-01 17:30:00,105660
1970-01-01 17:45:00,103891
1970-01-01 18:00:00,103805
1970-01-01 18:15:00,112077
1970-01-01 18:30:00,118014
1970-01-01 18:45:00,112095
1970-01-01 19:00:00,108017
1970-01-01 19:15:00,110488
1970-01-01 19:30:00,104991
1970-01-01 19:45:00,102510
1970-01-01 20:00:00,106481
1970-01-01 20:15:00,110314
1970-01-01 20:30:00,107904
1970-01-01 20:45:00,105312
1970-01-01 21:00:00,101441
1970-01-01 21:15:00,100740
1970-01-01 21:30:00,111598
1970-01-01 21:45:00,103898
1970-01-01 22:00:00,93268
1970-01-01 22:15:00,99434
1970-01-01 22:30:00,100283
1970-01-01 22:45:00,106136
1970-01-01 23:00:00,115373
1970-01-01 23:15:00,118618
1970-01-01 23:30:00,119131
1970-01-01 23:45:00,120403
