,reqs
1970-01-01 00:00:00,157165
1970-01-01 01:00:00,182286
1970-01-01 02:00:00,196993
1970-01-01 03:00:00,196838
1970-01-01 04:00:00,182650
1970-01-01 05:00:00,156848
1970-01-01 06:00:00,127208
1970-01-01 07:00:00,102056
1970-01-01 08:00:00,87205
1970-01-01 09:00:00,87141
1970-01-01 10:00:00,102173
1970-01-01 11:00:00,127446
1970-01-01 12:00:00,157198
1970-01-01 13:00:00,182622
1970-01-01 14:00:00,197152
1970-01-01 15:00:00,197296
1970-01-01 16:00:00,182588
1970-01-01 17:00:00,156932
1970-01-01 18:00:00,127350
1970-01-01 19:00:00,101729
1970-01-01 20:00:00,87140
1970-01-01 21:00:00,87440
1970-01-01 22:00:00,101736
1970-01-01 23:00:00,127363
