,reqs
1970-01-01 00:00:00,36027
1970-01-01 00:15:00,36716
1970-01-01 00:30:00,37497
1970-01-01 00:45:00,38374
1970-01-01 01:00:00,39272
1970-01-01 01:15:00,40093
1970-01-01 01:30:00,40972
1970-01-01 01:45:00,41645
1970-01-01 02:00:00,42366
1970-01-01 02:15:00,43331
1970-01-01 02:30:00,44092
1970-01-01 02:45:00,44934
1970-01-01 03:00:00,45591
1970-01-01 03:15:00,46463
1970-01-01 03:30:00,47239
1970-01-01 03:45:00,48104
1970-01-01 04:00:00,48903
1970-01-01 04:15:00,49704
1970-01-01 04:30:00,50598
1970-01-01 04:45:00,51381
1970-01-01 05:00:00,52111
1970-01-01 05:15:00,53017
1970-01-01 05:30:00,53790
1970-01-01 05:45:00,54503
1970-01-01 06:00:00,55328
1970-01-01 06:15:00,56203
1970-01-01 06:30:00,56938
1970-01-01 06:45:00,57808
1970-01-01 07:00:00,58635
1970-01-01 07:15:00,59616
1970-01-01 07:30:00,60457
1970-01-01 07:45:00,61111
1970-01-01 08:00:00,61894
1970-01-01 08:15:00,62701
1970-01-01 08:30:00,63508
1970-01-01 08:45:00,64289
1970-01-01 09:00:00,65013
1970-01-01 09:15:00,66016
1970-01-01 09:30:00,66733
1970-01-01 09:45:00,67634
1970-01-01 10:00:00,68361
1970-01-01 10:15:00,69114
1970-01-01 10:30:00,69954
1970-01-01 10:45:00,70739
1970-01-01 11:00:00,71595
1970-01-01 11:15:00,72333
1970-01-01 11:30:00,73244
1970-01-01 11:45:00,74076
1970-01-01 12:00:00,74860
1970-01-01 12:15:00,75600
1970-01-01 12:30:00,76360
1970-01-01 12:45:00,77242
1970-01-01 13:00:00,78031
1970-01-01 13:15:00,78913
1970-01-01 13:30:00,79688
1970-01-01 13:45:00,80500
1970-01-01 14:00:00,81368
1970-01-01 14:15:00,82281
1970-01-01 14:30:00,83000
1970-01-01 14:45:00,83851
1970-01-01 15:00:00,84582
1970-01-01 15:15:00,85456
1970-01-01 15:30:00,86187
1970-01-01 15:45:00,86998
1970-01-01 16:00:00,87804
1970-01-01 16:15:00,88656
1970-01-01 16:30:00,89274
1970-01-01 16:45:00,90191
1970-01-01 17:00:00,90977
1970-01-01 17:15:00,91847
1970-01-01 17:30:00,92685
1970-01-01 17:45:00,93526
1970-01-01 18:00:00,94337
1970-01-01 18:15:00,95006
1970-01-01 18:30:00,95818
1970-01-01 18:45:00,96677
1970-01-01 19:00:00,97596
1970-01-01 19:15:00,98443
1970-01-01 19:30:00,99081
1970-01-01 19:45:00,100029
1970-01-01 20:00:00,100631
1970-01-01 20:15:00,101446
1970-01-01 20:30:00,102268
1970-01-01 20:45:00,103086
1970-01-01 21:00:00,103964
1970-01-01 21:15:00,104796
1970-01-01 21:30:00,105656
1970-01-01 21:45:00,106402
1970-01-01 22:00:00,107184
1970-01-01 22:15:00,108000
1970-01-01 22:30:00,108751
1970-01-01 22:45:00,109620
1970-01-01 23:00:00,110450
1970-01-01 23:15:00,111129
1970-01-01 23:30:00,112157
1970-01-01 23:45:00,112877
